Team_Line,Players
minnesota-wild_Defensive Pairing 3,"['Declan Chisholm', 'Zach Bogosian']"
minnesota-wild_Powerplay,"['Matt Boldy', 'Joel Eriksson Ek', 'Kirill Kaprizov', 'Mats Zuccarello', 'Brock Faber']"
calgary-flames_Line 1,"['Yegor Sharangovich', 'Nazem Kadri', 'Andrei Kuzmenko']"
calgary-flames_Line 2,"['Connor Zary', 'Mikael Backlund', 'Blake Coleman']"
calgary-flames_Line 3,"['Jonathan Huberdeau', 'Martin Pospisil', 'Anthony Mantha']"
calgary-flames_Line 4,"['Ryan Lomberg', 'Kevin Rooney', 'Adam Klapka']"
calgary-flames_Defensive Pairing 1,"['MacKenzie Weegar', 'Daniil Miromanov']"
calgary-flames_Defensive Pairing 2,"['Kevin Bahl', 'Rasmus Andersson']"
calgary-flames_Defensive Pairing 3,"['Jake Bean', 'Tyson Barrie']"
calgary-flames_Powerplay,"['Andrei Kuzmenko', 'Nazem Kadri', 'Jonathan Huberdeau', 'MacKenzie Weegar', 'Yegor Sharangovich']"
new-jersey-devils_Line 1,"['Timo Meier', 'Jack Hughes', 'Jesper Bratt']"
new-jersey-devils_Line 2,"['Tomas Tatar', 'Nico Hischier', 'Dawson Mercer']"
new-jersey-devils_Line 3,"['Paul Cotter', 'Erik Haula', 'Stefan Noesen']"
new-jersey-devils_Line 4,"['Kurtis MacDermid', 'Curtis Lazar', 'Nathan Bastian']"
new-jersey-devils_Defensive Pairing 1,"['Brenden Dillon', 'Dougie Hamilton']"
new-jersey-devils_Defensive Pairing 2,"['Jonas Siegenthaler', 'Johnathan Kovacevic']"
new-jersey-devils_Defensive Pairing 3,"['Seamus Casey', 'Simon Nemec']"
new-jersey-devils_Powerplay,"['Timo Meier', 'Nico Hischier', 'Jesper Bratt', 'Dougie Hamilton', 'Jack Hughes']"
anaheim-ducks_Line 1,"['Trevor Zegras', 'Mason McTavish', 'Troy Terry']"
anaheim-ducks_Line 2,"['Cutter Gauthier', 'Leo Carlsson', 'Alex Killorn']"
anaheim-ducks_Line 3,"['Frank Vatrano', 'Ryan Strome', 'Robby Fabbri']"
anaheim-ducks_Line 4,"['Brock McGinn', 'Isac Lundestrom', 'Brett Leason']"
anaheim-ducks_Defensive Pairing 1,"['Cam Fowler', 'Olen Zellweger']"
anaheim-ducks_Defensive Pairing 2,"['Pavel Mintyukov', 'Radko Gudas']"
anaheim-ducks_Defensive Pairing 3,"['Brian Dumoulin', 'Jackson Lacombe']"
anaheim-ducks_Powerplay,"['Troy Terry', 'Leo Carlsson', 'Cutter Gauthier', 'Trevor Zegras', 'Cam Fowler']"
washington-capitals_Line 1,"['Alex Ovechkin', 'Dylan Strome', 'Andrew Mangiapane']"
washington-capitals_Line 2,"['Connor McMichael', 'Pierre-Luc Dubois', 'Tom Wilson']"
washington-capitals_Line 3,"['Sonny Milano', 'Hendrix Lapierre', 'Aliaksei Protas']"
washington-capitals_Line 4,"['Brandon Duhaime', 'Nic Dowd', 'Taylor Raddysh']"
washington-capitals_Defensive Pairing 1,"['Jakob Chychrun', 'John Carlson']"
washington-capitals_Defensive Pairing 2,"['Martin Fehervary', 'Matt Roy']"
washington-capitals_Defensive Pairing 3,"['Rasmus Sandin', 'Trevor van Riemsdyk']"
washington-capitals_Powerplay,"['Tom Wilson', 'Dylan Strome', 'Pierre-Luc Dubois', 'Alex Ovechkin', 'John Carlson']"
st-louis-blues_Line 1,"['Dylan Holloway', 'Robert Thomas', 'Jake Neighbours']"
st-louis-blues_Line 2,"['Alexandre Texier', 'Pavel Buchnevich', 'Jordan Kyrou']"
st-louis-blues_Line 3,"['Mathieu Joseph', 'Brayden Schenn', 'Kasperi Kapanen']"
st-louis-blues_Line 4,"['Alexey Toropchenko', 'Radek Faksa', 'Nathan Walker']"
st-louis-blues_Defensive Pairing 1,"['Nick Leddy', 'Colton Parayko']"
st-louis-blues_Defensive Pairing 2,"['Philip Broberg', 'Justin Faulk']"
st-louis-blues_Defensive Pairing 3,"['Ryan Suter', 'Matthew Kessel']"
st-louis-blues_Powerplay,"['Jake Neighbours', 'Pavel Buchnevich', 'Robert Thomas', 'Jordan Kyrou', 'Justin Faulk']"
new-york-islanders_Line 1,"['Anthony Duclair', 'Bo Horvat', 'Mathew Barzal']"
new-york-islanders_Line 2,"['Maxim Tsyplakov', 'Brock Nelson', 'Kyle Palmieri']"
new-york-islanders_Line 3,"['Anders Lee', 'Jean-Gabriel Pageau', 'Simon Holmstrom']"
new-york-islanders_Line 4,"['Kyle MacLean', 'Casey Cizikas', 'Pierre Engvall']"
new-york-islanders_Defensive Pairing 1,"['Alexander Romanov', 'Noah Dobson']"
new-york-islanders_Defensive Pairing 2,"['Adam Pelech', 'Ryan Pulock']"
new-york-islanders_Defensive Pairing 3,"['Mike Reilly', 'Scott Mayfield']"
new-york-islanders_Powerplay,"['Kyle Palmieri', 'Bo Horvat', 'Mathew Barzal', 'Noah Dobson', 'Brock Nelson']"
los-angeles-kings_Line 1,"['Alex Laferriere', 'Anze Kopitar', 'Adrian Kempe']"
los-angeles-kings_Line 2,"['Kevin Fiala', 'Quinton Byfield', 'Warren Foegele']"
los-angeles-kings_Line 3,"['Tanner Jeannot', 'Phillip Danault', 'Trevor Moore']"
los-angeles-kings_Line 4,"['Akil Thomas', 'Alex Turcotte', 'Trevor Lewis']"
los-angeles-kings_Defensive Pairing 1,"['Mikey Anderson', 'Jordan Spence']"
los-angeles-kings_Defensive Pairing 2,"['Vladislav Gavrikov', 'Kyle Burroughs']"
los-angeles-kings_Defensive Pairing 3,"['Joel Edmundson', 'Brandt Clarke']"
los-angeles-kings_Powerplay,"['Alex Laferriere', 'Anze Kopitar', 'Adrian Kempe', 'Kevin Fiala', 'Brandt Clarke']"
buffalo-sabres_Line 1,"['JJ Peterka', 'Tage Thompson', 'Alex Tuch']"
buffalo-sabres_Line 2,"['Jiri Kulich', 'Dylan Cozens', 'Jack Quinn']"
buffalo-sabres_Line 3,"['Jason Zucker', 'Ryan McLeod', 'Jordan Greenway']"
buffalo-sabres_Line 4,"['Beck Malenstyn', 'Peyton Krebs', 'Sam Lafferty']"
buffalo-sabres_Defensive Pairing 1,"['Rasmus Dahlin', 'Henri Jokiharju']"
buffalo-sabres_Defensive Pairing 2,"['Bowen Byram', 'Owen Power']"
buffalo-sabres_Defensive Pairing 3,"['Mattias Samuelsson', 'Connor Clifton']"
buffalo-sabres_Powerplay,"['JJ Peterka', 'Alex Tuch', 'Jack Quinn', 'Tage Thompson', 'Rasmus Dahlin']"
detroit-red-wings_Line 1,"['Alex DeBrincat', 'Dylan Larkin', 'Lucas Raymond']"
detroit-red-wings_Line 2,"['Vladimir Tarasenko', 'J.T. Compher', 'Patrick Kane']"
detroit-red-wings_Line 3,"['Michael Rasmussen', 'Andrew Copp', 'Christian Fischer']"
detroit-red-wings_Line 4,"['Jonatan Berggren', 'Joe Veleno', 'Tyler Motte']"
detroit-red-wings_Defensive Pairing 1,"['Ben Chiarot', 'Moritz Seider']"
detroit-red-wings_Defensive Pairing 2,"['Simon Edvinsson', 'Jeff Petry']"
detroit-red-wings_Defensive Pairing 3,"['Olli Maatta', 'Erik Gustafsson']"
detroit-red-wings_Powerplay,"['Lucas Raymond', 'Dylan Larkin', 'Patrick Kane', 'Alex DeBrincat', 'Moritz Seider']"
winnipeg-jets_Line 1,"['Kyle Connor', 'Mark Scheifele', 'Gabriel Vilardi']"
winnipeg-jets_Line 2,"['Cole Perfetti', 'Vladislav Namestnikov', 'Nikolaj Ehlers']"
winnipeg-jets_Line 3,"['Nino Niederreiter', 'Adam Lowry', 'Mason Appleton']"
winnipeg-jets_Line 4,"['Morgan Barron', 'Rasmus Kupari', 'Alex Iafallo']"
winnipeg-jets_Defensive Pairing 1,"['Josh Morrissey', 'Dylan DeMelo']"
winnipeg-jets_Defensive Pairing 2,"['Dylan Samberg', 'Neal Pionk']"
winnipeg-jets_Defensive Pairing 3,"['Colin Miller', 'Haydn Fleury']"
winnipeg-jets_Powerplay,"['Nikolaj Ehlers', 'Gabriel Vilardi', 'Kyle Connor', 'Mark Scheifele', 'Josh Morrissey']"
dallas-stars_Line 1,"['Jason Robertson', 'Roope Hintz', 'Wyatt Johnston']"
dallas-stars_Line 2,"['Mason Marchment', 'Matt Duchene', 'Tyler Seguin']"
dallas-stars_Line 3,"['Jamie Benn', 'Mavrik Bourque', 'Logan Stankoven']"
dallas-stars_Line 4,"['Evgenii Dadonov', 'Sam Steel', 'Colin Blackwell']"
dallas-stars_Defensive Pairing 1,"['Miro Heiskanen', 'Matt Dumba']"
dallas-stars_Defensive Pairing 2,"['Thomas Harley', 'Kyle Capobianco']"
dallas-stars_Defensive Pairing 3,"['Esa Lindell', 'Ilya Lyubushkin']"
dallas-stars_Powerplay,"['Jamie Benn', 'Roope Hintz', 'Jason Robertson', 'Wyatt Johnston', 'Miro Heiskanen']"
carolina-hurricanes_Line 1,"['Seth Jarvis', 'Sebastian Aho', 'Jack Roslovic']"
carolina-hurricanes_Line 2,"['Andrei Svechnikov', 'Jesperi Kotkaniemi', 'Martin Necas']"
carolina-hurricanes_Line 3,"['Jordan Martinook', 'Jordan Staal', 'William Carrier']"
carolina-hurricanes_Line 4,"['Brendan Lemieux', 'Jack Drury', 'Eric Robinson']"
carolina-hurricanes_Defensive Pairing 1,"['Jaccob Slavin', 'Brent Burns']"
carolina-hurricanes_Defensive Pairing 2,"['Dmitry Orlov', 'Jalen Chatfield']"
carolina-hurricanes_Defensive Pairing 3,"['Shayne Gostisbehere', 'Sean Walker']"
carolina-hurricanes_Powerplay,"['Andrei Svechnikov', 'Martin Necas', 'Seth Jarvis', 'Shayne Gostisbehere', 'Sebastian Aho']"
seattle-kraken_Line 1,"['Jared McCann', 'Matty Beniers', 'Oliver Bjorkstrand']"
seattle-kraken_Line 2,"['Eeli Tolvanen', 'Chandler Stephenson', 'Andre Burakovsky']"
seattle-kraken_Line 3,"['Jaden Schwartz', 'Shane Wright', 'Jordan Eberle']"
seattle-kraken_Line 4,"['Tye Kartye', 'Yanni Gourde', 'Brandon Tanev']"
seattle-kraken_Defensive Pairing 1,"['Vince Dunn', 'Adam Larsson']"
seattle-kraken_Defensive Pairing 2,"['Jamie Oleksiak', 'Brandon Montour']"
seattle-kraken_Defensive Pairing 3,"['Ryker Evans', 'Will Borgen']"
seattle-kraken_Powerplay,"['Jordan Eberle', 'Matty Beniers', 'Jared McCann', 'Eeli Tolvanen', 'Brandon Montour']"
vancouver-canucks_Line 1,"['Danton Heinen', 'J.T. Miller', 'Brock Boeser']"
vancouver-canucks_Line 2,"['Jake DeBrusk', 'Elias Pettersson', 'Daniel Sprong']"
vancouver-canucks_Line 3,"['Nils Hoglander', 'Aatu Raty', 'Conor Garland']"
vancouver-canucks_Line 4,"['Arshdeep Bains', 'Teddy Blueger', 'Kiefer Sherwood']"
vancouver-canucks_Defensive Pairing 1,"['Quinn Hughes', 'Filip Hronek']"
vancouver-canucks_Defensive Pairing 2,"['Carson Soucy', 'Tyler Myers']"
